star 1	err	star 2	err	star 3		2-1	3-1	3-2	HJD	Epoch	error 3-2	error 2-1	error 3-1	phase	new phase
-11.672	0.003	-8.494	0.017	-8.887	0.013	3.178	2.785	-0.393	2459522.565	59522.56487	0.01334166406	0.02140093456	0.01334166406	0.8003626206	0.9159391235
-11.676	0.003	-8.51	0.017	-8.907	0.013	3.166	2.769	-0.397	2459522.565	59522.56506	0.01334166406	0.02140093456	0.01334166406	0.8009565955	0.9165330984
-11.611	0.003	-8.427	0.018	-8.83	0.013	3.184	2.781	-0.403	2459522.565	59522.56526	0.01334166406	0.02220360331	0.01334166406	0.8015689648	0.9171454677
-11.655	0.003	-8.475	0.017	-8.9	0.013	3.18	2.755	-0.425	2459522.565	59522.56544	0.01334166406	0.02140093456	0.01334166406	0.8021481287	0.9177246316
-11.659	0.003	-8.456	0.018	-8.909	0.013	3.203	2.75	-0.453	2459522.566	59522.56569	0.01334166406	0.02220360331	0.01334166406	0.8029221664	0.9184986694
-11.67	0.003	-8.514	0.017	-8.919	0.012	3.156	2.751	-0.405	2459522.566	59522.56588	0.01236931688	0.02080865205	0.01236931688	0.803507848	0.9190843509
-11.617	0.003	-8.459	0.017	-8.845	0.013	3.158	2.772	-0.386	2459522.566	59522.56607	0.01334166406	0.02140093456	0.01334166406	0.8040916885	0.9196681914
-11.69	0.003	-8.521	0.017	-8.913	0.013	3.169	2.777	-0.392	2459522.566	59522.56625	0.01334166406	0.02140093456	0.01334166406	0.8046744691	0.920250972
-11.68	0.003	-8.502	0.017	-8.898	0.012	3.178	2.782	-0.396	2459522.566	59522.56645	0.01236931688	0.02080865205	0.01236931688	0.8052861226	0.9208626255
-11.692	0.003	-8.509	0.016	-8.911	0.013	3.183	2.781	-0.402	2459522.567	59522.56664	0.01334166406	0.02061552813	0.01334166406	0.8058703682	0.9214468711
-11.672	0.003	-8.485	0.017	-8.911	0.012	3.187	2.761	-0.426	2459522.567	59522.56684	0.01236931688	0.02080865205	0.01236931688	0.8065137941	0.922090297
-11.685	0.003	-8.512	0.016	-8.895	0.013	3.173	2.79	-0.383	2459522.567	59522.56703	0.01334166406	0.02061552813	0.01334166406	0.8070983518	0.9226748548
-11.675	0.003	-8.533	0.016	-8.922	0.012	3.142	2.753	-0.389	2459522.567	59522.56722	0.01236931688	0.02	0.01236931688	0.8076869009	0.9232634039
-11.671	0.003	-8.467	0.017	-8.895	0.012	3.204	2.776	-0.428	2459522.567	59522.56741	0.01236931688	0.02080865205	0.01236931688	0.8082743901	0.923850893
-11.662	0.003	-8.499	0.017	-8.87	0.013	3.163	2.792	-0.371	2459522.568	59522.56759	0.01334166406	0.02140093456	0.01334166406	0.8088561108	0.9244326138
-11.695	0.003	-8.522	0.016	-8.914	0.013	3.173	2.781	-0.392	2459522.568	59522.56778	0.01334166406	0.02061552813	0.01334166406	0.8094413858	0.9250178888
-11.581	0.003	-8.402	0.018	-8.777	0.014	3.179	2.804	-0.375	2459522.568	59522.56797	0.01431782106	0.0228035085	0.01431782106	0.8100407866	0.9256172895
-11.677	0.003	-8.485	0.017	-8.906	0.013	3.192	2.771	-0.421	2459522.568	59522.56816	0.01334166406	0.02140093456	0.01334166406	0.810622818	0.9261993209
-11.683	0.003	-8.491	0.017	-8.923	0.012	3.192	2.76	-0.432	2459522.568	59522.56835	0.01236931688	0.02080865205	0.01236931688	0.8112012966	0.9267777995
-11.676	0.003	-8.49	0.017	-8.911	0.013	3.186	2.765	-0.421	2459522.569	59522.56854	0.01334166406	0.02140093456	0.01334166406	0.8118032222	0.9273797251
-11.645	0.003	-8.442	0.017	-8.876	0.013	3.203	2.769	-0.434	2459522.569	59522.56873	0.01334166406	0.02140093456	0.01334166406	0.81238672	0.927963223
