star 1	err	star 2	err	star 3	err	HJD	2-1	3-1	3-2	Epoch	error 3-2	error 2-1	error 3-1	phase
-13.305	0.003	-10.116	0.016	-11.558	0.006	2459522.565	3.189	1.747	-1.442	59522.56498	0.01708800749	0.0162788206	0.006708203932	0.9162736504
-13.247	0.003	-10.06	0.017	-11.479	0.007	2459522.565	3.187	1.768	-1.419	59522.56517	0.01838477631	0.0172626765	0.007615773106	0.9168585827
-13.295	0.003	-10.079	0.016	-11.556	0.006	2459522.565	3.216	1.739	-1.477	59522.56536	0.01708800749	0.0162788206	0.006708203932	0.9174659023
-13.275	0.003	-10.08	0.017	-11.52	0.007	2459522.566	3.195	1.755	-1.44	59522.56561	0.01838477631	0.0172626765	0.007615773106	0.9182392228
-13.281	0.003	-10.102	0.017	-11.534	0.007	2459522.566	3.179	1.747	-1.432	59522.5658	0.01838477631	0.0172626765	0.007615773106	0.9188230633
-13.298	0.003	-10.088	0.017	-11.569	0.006	2459522.566	3.21	1.729	-1.481	59522.56598	0.01802775638	0.0172626765	0.006708203932	0.919404784
-13.338	0.003	-10.184	0.016	-11.612	0.006	2459522.566	3.154	1.726	-1.428	59522.56617	0.01708800749	0.0162788206	0.006708203932	0.9199882833
-13.298	0.003	-10.128	0.016	-11.562	0.006	2459522.566	3.17	1.736	-1.434	59522.56637	0.01708800749	0.0162788206	0.006708203932	0.9206038962
-13.295	0.003	-10.125	0.016	-11.57	0.006	2459522.567	3.17	1.725	-1.445	59522.56655	0.01708800749	0.0162788206	0.006708203932	0.9211859595
-13.267	0.003	-10.088	0.017	-11.537	0.006	2459522.567	3.179	1.73	-1.449	59522.56676	0.01802775638	0.0172626765	0.006708203932	0.921827919
-13.323	0.003	-10.16	0.016	-11.603	0.006	2459522.567	3.163	1.72	-1.443	59522.56695	0.01708800749	0.0162788206	0.006708203932	0.9224128833
-13.341	0.003	-10.143	0.016	-11.59	0.006	2459522.567	3.198	1.751	-1.447	59522.56713	0.01708800749	0.0162788206	0.006708203932	0.9229952893
-13.316	0.003	-10.137	0.016	-11.566	0.006	2459522.567	3.179	1.75	-1.429	59522.56733	0.01708800749	0.0162788206	0.006708203932	0.9235910718
-13.313	0.003	-10.169	0.016	-11.56	0.006	2459522.568	3.144	1.753	-1.391	59522.56751	0.01708800749	0.0162788206	0.006708203932	0.9241731367
-13.311	0.003	-10.115	0.016	-11.56	0.006	2459522.568	3.196	1.751	-1.445	59522.5677	0.01708800749	0.0162788206	0.006708203932	0.9247552
-13.244	0.003	-10.063	0.017	-11.506	0.007	2459522.568	3.181	1.738	-1.443	59522.56789	0.01838477631	0.0172626765	0.007615773106	0.9253372329
-13.288	0.003	-10.088	0.016	-11.532	0.007	2459522.568	3.2	1.756	-1.444	59522.56808	0.0174642492	0.0162788206	0.007615773106	0.9259402489
-13.241	0.003	-10.075	0.017	-11.504	0.007	2459522.568	3.166	1.737	-1.429	59522.56826	0.01838477631	0.0172626765	0.007615773106	0.9265190701
-13.287	0.003	-10.139	0.016	-11.546	0.006	2459522.568	3.148	1.741	-1.407	59522.56846	0.01708800749	0.0162788206	0.006708203932	0.9271206212
-13.231	0.003	-10.061	0.017	-11.486	0.007	2459522.569	3.17	1.745	-1.425	59522.56864	0.01838477631	0.0172626765	0.007615773106	0.9277015941
-13.274	0.003	-10.076	0.016	-11.538	0.007	2459522.569	3.198	1.736	-1.462	59522.56883	0.0174642492	0.0162788206	0.007615773106	0.9282879915
-13.298	0.003	-10.13	0.016	-11.563	0.006	2459522.569	3.168	1.735	-1.433	59522.56902	0.01708800749	0.0162788206	0.006708203932	0.9288725812
-13.284	0.003	-10.107	0.016	-11.547	0.007	2459522.569	3.177	1.737	-1.44	59522.56921	0.0174642492	0.0162788206	0.007615773106	0.9294549872
-13.283	0.003	-10.076	0.017	-11.548	0.006	2459522.569	3.207	1.735	-1.472	59522.56939	0.01802775638	0.0172626765	0.006708203932	0.9300363333
-13.308	0.003	-10.132	0.016	-11.582	0.006	2459522.57	3.176	1.726	-1.45	59522.56958	0.01708800749	0.0162788206	0.006708203932	0.9306191139
