star 1	err	star 2	err	star 3	err	HJD	2-1	3-1	3-2	Epoch	error 3-2	error 2-1	error 3-1	phase	new pahse
-12.647	0.003	-9.493	0.019	-10.487	0.01	2459522.565	3.154	2.16	-0.994	59522.56493	0.02147091055	0.01923538406	0.01044030651	0.8005574625	0.9161339654
-12.693	0.003	-9.515	0.019	-10.514	0.01	2459522.565	3.178	2.179	-0.999	59522.56532	0.02147091055	0.01923538406	0.01044030651	0.8011420827	0.9173258747
-12.669	0.003	-9.531	0.019	-10.524	0.009	2459522.565	3.138	2.145	-0.993	59522.56551	0.02102379604	0.01923538406	0.009486832981	0.8017493717	0.9179393358
-12.655	0.003	-9.475	0.02	-10.491	0.01	2459522.566	3.18	2.164	-1.016	59522.56575	0.02236067977	0.02022374842	0.01044030651	0.8023628329	0.9186812585
-12.667	0.003	-9.455	0.02	-10.507	0.01	2459522.566	3.212	2.16	-1.052	59522.56594	0.02236067977	0.02022374842	0.01044030651	0.8031047556	0.9192658482
-12.654	0.003	-9.479	0.019	-10.515	0.01	2459522.566	3.175	2.139	-1.036	59522.56612	0.02147091055	0.01923538406	0.01044030651	0.8036893453	0.919849002
-12.682	0.003	-9.492	0.019	-10.525	0.009	2459522.566	3.19	2.157	-1.033	59522.56632	0.02102379604	0.01923538406	0.009486832981	0.8042724991	0.920464959
-12.692	0.003	-9.489	0.02	-10.54	0.009	2459522.566	3.203	2.152	-1.051	59522.56651	0.0219317122	0.02022374842	0.009486832981	0.8048884561	0.9210463051
-12.687	0.003	-9.483	0.019	-10.531	0.009	2459522.567	3.204	2.156	-1.048	59522.56671	0.02102379604	0.01923538406	0.009486832981	0.8054698022	0.9216626672
-12.662	0.003	-9.512	0.019	-10.525	0.009	2459522.567	3.15	2.137	-1.013	59522.5669	0.02102379604	0.01923538406	0.009486832981	0.8060861642	0.9222699867
-12.688	0.003	-9.52	0.019	-10.535	0.009	2459522.567	3.168	2.153	-1.015	59522.56709	0.02102379604	0.01923538406	0.009486832981	0.8066934838	0.9228552617
-12.676	0.003	-9.506	0.019	-10.502	0.01	2459522.567	3.17	2.174	-0.996	59522.56728	0.02147091055	0.01923538406	0.01044030651	0.8072787588	0.9234481753
-12.682	0.003	-9.519	0.018	-10.526	0.009	2459522.567	3.163	2.156	-1.007	59522.56747	0.0201246118	0.01824828759	0.009486832981	0.8078716723	0.9240338568
-12.697	0.003	-9.501	0.019	-10.532	0.009	2459522.567	3.196	2.165	-1.031	59522.56765	0.02102379604	0.01923538406	0.009486832981	0.8084573539	0.9246158882
-12.638	0.003	-9.491	0.019	-10.499	0.01	2459522.568	3.147	2.139	-1.008	59522.56784	0.02147091055	0.01923538406	0.01044030651	0.8090393853	0.9251979531
-12.599	0.003	-9.394	0.021	-10.406	0.01	2459522.568	3.205	2.193	-1.012	59522.56803	0.0232594067	0.02121320344	0.01044030651	0.8096214501	0.9258005945
-12.622	0.003	-9.437	0.02	-10.458	0.01	2459522.568	3.185	2.164	-1.021	59522.56822	0.02236067977	0.02022374842	0.01044030651	0.8102240915	0.926380133
-12.657	0.003	-9.475	0.019	-10.491	0.01	2459522.568	3.182	2.166	-1.016	59522.56841	0.02147091055	0.01923538406	0.01044030651	0.81080363	0.9269621963
-12.654	0.003	-9.471	0.019	-10.493	0.01	2459522.568	3.183	2.161	-1.022	59522.5686	0.02147091055	0.01923538406	0.01044030651	0.8113856934	0.927562657
-12.641	0.003	-9.446	0.019	-10.477	0.01	2459522.569	3.195	2.164	-1.031	59522.56879	0.02147091055	0.01923538406	0.01044030651	0.811986154	0.9281476198
-12.688	0.003	-9.501	0.019	-10.54	0.009	2459522.569	3.187	2.148	-1.039	59522.56897	0.02102379604	0.01923538406	0.009486832981	0.8125711169	0.9287307431
-12.645	0.003	-9.473	0.019	-10.463	0.01	2459522.569	3.172	2.182	-0.99	59522.56916	0.02147091055	0.01923538406	0.01044030651	0.8131542401	0.9293153328
-12.653	0.003	-9.49	0.019	-10.481	0.01	2459522.569	3.163	2.172	-0.991	59522.56935	0.02147091055	0.01923538406	0.01044030651	0.8137388298	0.9298974281
-12.686	0.003	-9.505	0.019	-10.528	0.009	2459522.569	3.181	2.158	-1.023	59522.56953	0.02102379604	0.01923538406	0.009486832981	0.8143209251	0.9304791168
-12.686	0.003	-9.498	0.019	-10.523	0.009	2459522.57	3.188	2.163	-1.025	59522.56972	0.02102379604	0.01923538406	0.009486832981	0.8149026139	0.9310600898
-12.701	0.003	-9.521	0.018	-10.529	0.009	2459522.57	3.18	2.172	-1.008	59522.56991	0.0201246118	0.01824828759	0.009486832981	0.8154835869	0.9316468313
-12.69	0.003	-9.516	0.019	-10.536	0.009	2459522.57	3.174	2.154	-1.02	59522.57011	0.02102379604	0.01923538406	0.009486832981	0.8160703283	0.9322610096
-12.705	0.003	-9.529	0.018	-10.56	0.009	2459522.57	3.176	2.145	-1.031	59522.5703	0.0201246118	0.01824828759	0.009486832981	0.8166845067	0.93285461
-12.643	0.003	-9.466	0.02	-10.485	0.01	2459522.57	3.177	2.158	-1.019	59522.57048	0.02236067977	0.02022374842	0.01044030651	0.817278107	0.9334330566
-12.673	0.003	-9.483	0.019	-10.53	0.009	2459522.57	3.19	2.143	-1.047	59522.57067	0.02102379604	0.01923538406	0.009486832981	0.8178565537	0.93401512
-12.692	0.003	-9.537	0.018	-10.544	0.009	2459522.571	3.155	2.148	-1.007	59522.57086	0.0201246118	0.01824828759	0.009486832981	0.818438617	0.9346213796
-12.679	0.003	-9.525	0.018	-10.525	0.009	2459522.571	3.154	2.154	-1	59522.57105	0.0201246118	0.01824828759	0.009486832981	0.8190448766	0.9352045348
-12.668	0.003	-9.465	0.019	-10.514	0.009	2459522.571	3.203	2.154	-1.049	59522.57124	0.02102379604	0.01923538406	0.009486832981	0.8196280318	0.9357865981
-12.66	0.003	-9.512	0.019	-10.503	0.01	2459522.571	3.148	2.157	-0.991	59522.57142	0.02147091055	0.01923538406	0.01044030651	0.8202100952	0.9363661047
-12.685	0.003	-9.514	0.019	-10.512	0.01	2459522.571	3.171	2.173	-0.998	59522.57161	0.02147091055	0.01923538406	0.01044030651	0.8207896017	0.9369496345
-12.689	0.003	-9.532	0.018	-10.527	0.009	2459522.572	3.157	2.162	-0.995	59522.5718	0.0201246118	0.01824828759	0.009486832981	0.8213731315	0.9375327577
-12.673	0.003	-9.491	0.019	-10.514	0.009	2459522.572	3.182	2.159	-1.023	59522.57198	0.02102379604	0.01923538406	0.009486832981	0.8219562548	0.9381151957
-12.69	0.003	-9.509	0.018	-10.532	0.009	2459522.572	3.181	2.158	-1.023	59522.57217	0.0201246118	0.01824828759	0.009486832981	0.8225386927	0.9387004707
-12.657	0.003	-9.457	0.019	-10.497	0.01	2459522.572	3.2	2.16	-1.04	59522.57236	0.02147091055	0.01923538406	0.01044030651	0.8231239678	0.9392850604
-12.649	0.003	-9.495	0.019	-10.504	0.009	2459522.572	3.154	2.145	-1.009	59522.57255	0.02102379604	0.01923538406	0.009486832981	0.8237085575	0.9398674983
-12.629	0.003	-9.449	0.019	-10.468	0.01	2459522.573	3.18	2.161	-1.019	59522.57273	0.02147091055	0.01923538406	0.01044030651	0.8242909954	0.9404528053
-12.662	0.003	-9.496	0.019	-10.509	0.009	2459522.573	3.166	2.153	-1.013	59522.57296	0.02102379604	0.01923538406	0.009486832981	0.8248763024	0.9411622689
-12.662	0.003	-9.472	0.019	-10.503	0.01	2459522.573	3.19	2.159	-1.031	59522.57315	0.02147091055	0.01923538406	0.01044030651	0.825585766	0.9417436165
-12.62	0.003	-9.466	0.019	-10.458	0.01	2459522.573	3.154	2.162	-0.992	59522.57333	0.02147091055	0.01923538406	0.01044030651	0.8261671135	0.9423278316
-12.579	0.003	-9.452	0.019	-10.41	0.01	2459522.573	3.127	2.169	-0.958	59522.57352	0.02147091055	0.01923538406	0.01044030651	0.8267513286	0.9429069954
-12.601	0.003	-9.455	0.02	-10.45	0.01	2459522.574	3.146	2.151	-0.995	59522.57371	0.02236067977	0.02022374842	0.01044030651	0.8273304925	0.9434890588
-12.596	0.003	-9.445	0.02	-10.422	0.01	2459522.574	3.151	2.174	-0.977	59522.57389	0.02236067977	0.02022374842	0.01044030651	0.8279125559	0.9440740216
-12.61	0.003	-9.35	0.021	-10.46	0.01	2459522.574	3.26	2.15	-1.11	59522.57408	0.0232594067	0.02121320344	0.01044030651	0.8284975187	0.9446560865
-12.643	0.003	-9.478	0.019	-10.484	0.01	2459522.574	3.165	2.159	-1.006	59522.57427	0.02147091055	0.01923538406	0.01044030651	0.8290795835	0.9452377752
-12.623	0.003	-9.43	0.02	-10.448	0.01	2459522.574	3.193	2.175	-1.018	59522.57445	0.02236067977	0.02022374842	0.01044030651	0.8296612723	0.9458198386
-12.635	0.003	-9.455	0.019	-10.498	0.01	2459522.574	3.18	2.137	-1.043	59522.57465	0.02147091055	0.01923538406	0.01044030651	0.8302433356	0.946419582
-12.616	0.003	-9.478	0.019	-10.469	0.01	2459522.575	3.138	2.147	-0.991	59522.57483	0.02147091055	0.01923538406	0.01044030651	0.830843079	0.9470034544
-12.66	0.003	-9.505	0.019	-10.517	0.01	2459522.575	3.155	2.143	-1.012	59522.57502	0.02147091055	0.01923538406	0.01044030651	0.8314269515	0.9475916289
-12.657	0.003	-9.476	0.019	-10.507	0.009	2459522.575	3.181	2.15	-1.031	59522.57521	0.02102379604	0.01923538406	0.009486832981	0.832015126	0.9481765918
-12.692	0.003	-9.507	0.019	-10.519	0.009	2459522.575	3.185	2.173	-1.012	59522.5754	0.02102379604	0.01923538406	0.009486832981	0.8326000888	0.9487608069
-12.674	0.003	-9.486	0.019	-10.522	0.009	2459522.575	3.188	2.152	-1.036	59522.57559	0.02102379604	0.01923538406	0.009486832981	0.8331843039	0.9493464884
-12.649	0.003	-9.48	0.019	-10.514	0.009	2459522.576	3.169	2.135	-1.034	59522.57577	0.02102379604	0.01923538406	0.009486832981	0.8337699855	0.9499307035
-12.641	0.003	-9.47	0.019	-10.484	0.01	2459522.576	3.171	2.157	-1.014	59522.57596	0.02147091055	0.01923538406	0.01044030651	0.8343542006	0.9505135146
-12.643	0.003	-9.46	0.019	-10.489	0.01	2459522.576	3.183	2.154	-1.029	59522.57615	0.02147091055	0.01923538406	0.01044030651	0.8349370117	0.9510923054
-12.603	0.003	-9.408	0.02	-10.435	0.01	2459522.576	3.195	2.168	-1.027	59522.57633	0.02236067977	0.02022374842	0.01044030651	0.8355158024	0.9516743687
-12.638	0.003	-9.457	0.019	-10.491	0.01	2459522.576	3.181	2.147	-1.034	59522.57652	0.02147091055	0.01923538406	0.01044030651	0.8360978658	0.9522539072
-12.635	0.003	-9.454	0.019	-10.481	0.01	2459522.577	3.181	2.154	-1.027	59522.5767	0.02147091055	0.01923538406	0.01044030651	0.8366774043	0.9528363451
-12.649	0.003	-9.491	0.019	-10.498	0.01	2459522.577	3.158	2.151	-1.007	59522.57689	0.02147091055	0.01923538406	0.01044030651	0.8372598422	0.953415509
-12.634	0.003	-9.467	0.02	-10.508	0.009	2459522.577	3.167	2.126	-1.041	59522.57708	0.0219317122	0.02022374842	0.009486832981	0.8378390061	0.9539971978
-12.617	0.003	-9.457	0.019	-10.465	0.01	2459522.577	3.16	2.152	-1.008	59522.57727	0.02147091055	0.01923538406	0.01044030651	0.8384206949	0.9545835966
-12.655	0.003	-9.467	0.02	-10.506	0.01	2459522.577	3.188	2.149	-1.039	59522.57745	0.02236067977	0.02022374842	0.01044030651	0.8390070936	0.9551645681
-12.653	0.003	-9.476	0.019	-10.506	0.01	2459522.577	3.177	2.147	-1.03	59522.57764	0.02147091055	0.01923538406	0.01044030651	0.8395880652	0.9557448543
-12.622	0.003	-9.485	0.019	-10.498	0.01	2459522.578	3.137	2.124	-1.013	59522.57782	0.02147091055	0.01923538406	0.01044030651	0.8401683514	0.956329444
-12.662	0.003	-9.456	0.019	-10.505	0.009	2459522.578	3.206	2.157	-1.049	59522.57801	0.02102379604	0.01923538406	0.009486832981	0.8407529411	0.9569114769
-12.578	0.003	-9.409	0.02	-10.445	0.01	2459522.578	3.169	2.133	-1.036	59522.5782	0.02236067977	0.02022374842	0.01044030651	0.8413349739	0.9574968143
-12.692	0.003	-9.507	0.019	-10.538	0.009	2459522.578	3.185	2.154	-1.031	59522.57839	0.02102379604	0.01923538406	0.009486832981	0.8419203114	0.9580803122
-12.682	0.003	-9.485	0.019	-10.541	0.009	2459522.578	3.197	2.141	-1.056	59522.57857	0.02102379604	0.01923538406	0.009486832981	0.8425038092	0.958660536
-12.636	0.003	-9.488	0.019	-10.485	0.01	2459522.579	3.148	2.151	-0.997	59522.57876	0.02147091055	0.01923538406	0.01044030651	0.843084033	0.9592426008
